"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Gene"
"TRIM22" -1.01235694150833 2.94492252151991 -4.91213669512449 8.97197318588712e-06 6.61521686019141e-05 3.05205173976611 "TRIM22"
"LRRN1" -1.01115083241819 2.39063190050453 -4.62682639920671 2.41659151473124e-05 0.000153883971124668 2.09267529941952 "LRRN1"
"C3" -1.01099586891389 3.75478632086724 -6.51148349199756 2.70680990393889e-08 4.86866471659804e-07 8.72233954119809 "C3"
"TAPBPL" -1.01087615099906 3.55265963395079 -6.47323668481133 3.11860362362331e-08 5.52350937012379e-07 8.58329521808063 "TAPBPL"
"PDGFC" -1.00904611805645 4.813513848548 -4.25469129205963 8.51848450834804e-05 0.000441679075592281 0.878822528185014 "PDGFC"
"MT-ND6" -1.00640874483094 6.29819860091835 -9.43089018418256 6.01296263394349e-13 5.62936377731411e-11 19.2754277633401 "MT-ND6"
"GPR3" -1.00584528078943 3.00522762895024 -9.78476764273011 1.71221701311805e-13 1.95144733410978e-11 20.5132409049853 "GPR3"
"MT-ND4" -1.00395518380607 9.48331174345216 -6.53614226585256 2.4705378513056e-08 4.49285719923121e-07 8.81202881786741 "MT-ND4"
"SNORA48" -0.996176985371098 3.14648224935051 -6.13552988245449 1.08527514587695e-07 1.61204998830322e-06 7.35997597366772 "SNORA48"
"MT-ATP8" -0.994768981410407 6.57392289035436 -6.6962224787755 1.3647720808559e-08 2.75097446711368e-07 9.39500307452846 "MT-ATP8"
"PPP1R15A" -0.985112024243818 6.65902844922367 -4.8062722772893 1.29879479651527e-05 9.09064981618605e-05 2.6934547332244 "PPP1R15A"
"TEP1" -0.981247574199738 5.82950986118777 -10.1394046359639 4.93002964926866e-14 6.91054156009556e-12 21.7396373656731 "TEP1"
"EDIL3" 0.977363632888832 4.54586630354229 5.20406893614962 3.19546231911702e-06 2.76962778831784e-05 4.05518543796344 "EDIL3"
"MT-TF" -0.973848432564426 2.29348376925826 -5.1309659061886 4.14467858784641e-06 3.43371979475455e-05 3.80215634401469 "MT-TF"
"IFNL2" -0.973555084912423 3.00840060751939 -2.83981854660853 0.00638014411695092 0.016908507606099 -3.19009050848511 "IFNL2"
"DIO2" 0.972525921619757 4.08696775053239 5.95725124859637 2.08947976342805e-07 2.76969627337012e-06 6.71823732623037 "DIO2"
"TRIB2" -0.96863589257755 3.42964024499809 -5.25484373351292 2.66580959736048e-06 2.37990834844883e-05 4.23159843213274 "TRIB2"
"CDC42EP3" -0.962246306984435 6.03923938093995 -5.35233017316335 1.88008212023736e-06 1.77733344622438e-05 4.57176565342853 "CDC42EP3"
"MTCO1P12" -0.962183549007952 3.15703962570305 -8.40890811460289 2.421970107938e-11 1.36110255605087e-09 15.6321373922777 "MTCO1P12"
"KRT75" -0.960514758858067 2.34518300838932 -5.51502637682006 1.04620343977372e-06 1.08675050664741e-05 5.14343989329979 "KRT75"
"MT-ND3" -0.959678982335017 7.61342914176339 -8.56803949689462 1.35421082318796e-11 8.25730049438857e-10 16.2052564403834 "MT-ND3"
"LINC-PINT" -0.957676847597805 4.72924780340503 -9.59512866059243 3.35105872123911e-13 3.37736868640586e-11 19.8515956322389 "LINC-PINT"
"SNORA61" -0.95751282350723 3.68274320718074 -6.74363509750798 1.14462633615394e-08 2.4025332477448e-07 9.56787619952421 "SNORA61"
"MT-CYB" -0.954220959049493 9.38357281310591 -6.73333158755797 1.18923538776949e-08 2.48334341675496e-07 9.53030119300251 "MT-CYB"
"XDH" -0.950438505785734 2.0298177011662 -8.14242737843692 6.43762923402399e-11 3.19133693125701e-09 14.6685121946847 "XDH"
"PCDHAC2" -0.945739863827464 3.8243909250907 -13.8707311722898 2.58896570411421e-19 5.26207279361213e-16 33.6633011832348 "PCDHAC2"
"BCAN-AS1" -0.944711365349044 3.93645263002948 -6.21678588275245 8.04472145108752e-08 1.24909131516279e-06 7.65349522359149 "BCAN-AS1"
"COL26A1" 0.942758232078119 2.09095728790519 9.60878728727161 3.1924336088536e-13 3.24431065499747e-11 19.8993818675145 "COL26A1"
"GRAMD1B" -0.940526413806893 4.89957933059815 -7.39986916889653 1.00130556562624e-09 3.17166788904208e-08 11.9647841459442 "GRAMD1B"
